Stage,Strain no,Genotype,Treatment,Slide no,Name,Nucleus number,DAPIpeakA,DAPIvalleyB,DAPIoutC,FITCpeakA,FITCvalleyB,FITCoutC,DAPI_A-B,DAPI_A-C,DAPI_B-C,FITC_A-B,FITC_A-C,FITC_B-C
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,1,1718,498,66,432.8,232.7,125.3,1220,1652,432,200.1,307.5,107.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,2,2061,679,182,429.5,262.1,174,1382,1879,497,167.4,255.5,88.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,3,2101,419,193,488.5,301.6,264.1,1682,1908,226,186.9,224.4,37.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,4,1880,328,179,440.3,262.3,222.1,1552,1701,149,178,218.2,40.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,5,1881,482,158,445,272,267.4,1399,1723,324,173,177.6,4.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,6,2120,763,157,503.3,328,297.1,1357,1963,606,175.3,206.2,30.9
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,7,1829,830,124,509.8,261.4,158.3,999,1705,706,248.4,351.5,103.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,8,1761,616,146,550.6,306,264.7,1145,1615,470,244.6,285.9,41.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,9,2266,464,125,469.9,238.5,203.8,1802,2141,339,231.4,266.1,34.7
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,10,1902,534,120,522.2,279,249.2,1368,1782,414,243.2,273,29.8
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,11,2000,666,149,465.1,286.9,258,1334,1851,517,178.2,207.1,28.9
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,12,1935,649,197,469.9,295,311.6,1286,1738,452,174.9,158.3,-16.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,13,2119,356,173,441.1,282.2,235.1,1763,1946,183,158.9,206,47.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,14,1910,514,136,430,319.9,282.7,1396,1774,378,110.1,147.3,37.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,15,1406,552,163,451.1,302.4,266.1,854,1243,389,148.7,185,36.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300401,16,1445,551,99,390.3,207.2,127,894,1346,452,183.1,263.3,80.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,17,1751,781,133,508.8,289.9,261.4,970,1618,648,218.9,247.4,28.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,18,1886,609,73,483.2,227.5,121.2,1277,1813,536,255.7,362,106.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,19,1788,620,455,508.5,268.2,289.5,1168,1333,165,240.3,219,-21.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,20,1857,435,181,518.7,351.3,297.3,1422,1676,254,167.4,221.4,54
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,21,1826,494,145,484.4,288.8,233.4,1332,1681,349,195.6,251,55.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,22,2012,517,181,630,305.7,266.6,1495,1831,336,324.3,363.4,39.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,23,1664,315,113,450.8,295,135.8,1349,1551,202,155.8,315,159.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,24,1647,511,157,472,295.4,263.9,1136,1490,354,176.6,208.1,31.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,25,1713,635,162,422.8,271.7,189.3,1078,1551,473,151.1,233.5,82.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,26,1646,323,109,469.9,257.5,192.5,1323,1537,214,212.4,277.4,65
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,27,1401,776,118,504.5,309.4,268.1,625,1283,658,195.1,236.4,41.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,28,2054,555,302,597.7,324.3,287.1,1499,1752,253,273.4,310.6,37.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,29,1657,508,68,464.3,276.8,139.1,1149,1589,440,187.5,325.2,137.7
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,30,1633,1010,154,500.4,298.4,279,623,1479,856,202,221.4,19.4
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,31,1393,478,79,454,222.4,189.8,915,1314,399,231.6,264.2,32.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,32,1606,460,135,470.5,283.4,210.6,1146,1471,325,187.1,259.9,72.8
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,33,1557,569,144,584.2,326.8,261.7,988,1413,425,257.4,322.5,65.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,34,1537,668,152,508.6,279.4,215.3,869,1385,516,229.2,293.3,64.1
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,35,1485,463,197,470,307.3,235,1022,1288,266,162.7,235,72.3
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,36,1523,671,179,489.6,300,267.8,852,1344,492,189.6,221.8,32.2
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,37,1565,559,273,498.2,286,262.4,1006,1292,286,212.2,235.8,23.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,38,1403,619,147,535.6,272.2,249.4,784,1256,472,263.4,286.2,22.8
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,39,1404,528,123,457.7,267.8,257.2,876,1281,405,189.9,200.5,10.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,40,1308,473,64,486.7,259.7,122.1,835,1244,409,227,364.6,137.6
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,41,1529,425,68,470.7,284.4,161.5,1104,1461,357,186.3,309.2,122.9
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,42,1442,395,80,421,288.5,136,1047,1362,315,132.5,285,152.5
Premeiotic Zone,TY5120,coh-4(tm1857) coh-3(gk112) V,None,SJ331,SJ1908300402,43,1230,437,95,537.8,295.4,263.6,793,1135,342,242.4,274.2,31.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,1,2032,583,194,392.4,175.7,163.1,1449,1838,389,216.7,229.3,12.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,2,1572,347,180,697,283.9,200,1225,1392,167,413.1,497,83.9
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,3,1900,570,171,551.4,182.9,162.1,1330,1729,399,368.5,389.3,20.8
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,4,1476,602,180,568.8,276.4,199.8,874,1296,422,292.4,369,76.6
Premeiotic Zone,AFS0100,"cleSi9[coh-3(+), Cb unc-119(+)] II; coh-4(tm1857) coh-3(gk112) V",None,SJ332,SJ1908301101,5,2015,552,146,384.5,207.1,145.7,1463,1869,406,177.4,238.8,61.4
